municipio,suspeitos_25_03,confirmados_25_03,suspeitos_24_03,confirmados_24_03,mortes_24_03,confirmados_22_03,mortes_22_03,confirmados_20_03,mortes_20_03,confirmados_18_03,mortes_18_03,confirmados_16_03,mortes_16_03,confirmados_13_03,mortes_13_03,suspeitos_28_02,suspeitos_02_03,suspeitos_03_03,suspeitos_05_03,suspeitos_06_03,suspeitos_10_03,suspeitos_11_03,suspeitos_13_03,suspeitos_16_03,suspeitos_18_03,suspeitos_20_03,suspeitos_22_03
Acari,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Açu,29,,10,,,,,,,,,,,,,,,,,,,,,,,,6
Afonso Bezerra,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almino Afonso,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alto do Rodrigues,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Angicos,9,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
Antônio Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apodi,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Areia Branca,4,,1,,,,,,,,,,,,,,,,,,,,,,,1,1
Arês,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto Severo,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Baía Formosa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1
Baraúna,21,,9,,,,,,,,,,,,,,,,,,,,,,,,2
Barcelona,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Bento Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodó,7,,3,,,,,,,,,,,,,,,,,,,,,,,,
Bom Jesus,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brejinho,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Caiçara do Norte,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Caiçara do Rio do Vento,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caicó,3,,1,,,,,,,,,,,,,,,,,,,,,,,1,1
Campo Redondo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canguaretama,6,,2,,,,,,,,,,,,,,,,,,,,,,,,1
Caraúbas,5,,2,,,,,,,,,,,,,,,,,,,,,,,,1
Carnaúba dos Dantas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnaubais,10,,2,,,,,,,,,,,,,,,,,,,,,,,,
Ceará-Mirim,7,,2,,,,,,,,,,,,,,,,,,,,,1,1,1,2
Cerro Corá,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Coronel Ezequiel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronel João Pessoa,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruzeta,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Currais Novos,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Doutor Severiano,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,1
Encanto,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equador,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espírito Santo,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Extremoz,8,,2,,,,,,,,,,,,,,,,,,,,,,,1,2
Felipe Guerra,1,,4,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Pedroza,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Florânia,2,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Francisco Dantas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frutuoso Gomes,1,,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Galinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goianinha,2,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1
Governador Dix-Sept Rosado,4,,3,,,,,,,,,,,,,,,,,,,,,,,,
Grossos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guamaré,24,,6,,,,,,,,,,,,,,,,,,,,,,,3,3
Ielmo Marinho,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipanguaçu,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipueira,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
Itajá,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaú,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaçanã,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jandaíra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janduís,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januário Cicco,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Japi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Angicos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Piranhas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim do Seridó,3,,1,,,,,,,,,,,,,,,,,,,,,,,,1
João Câmara,3,,2,,,,,,,,,,,,,,,,,,,,,,,1,1
João Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,
José da Penha,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jucurutu,3,,3,,,,,,,,,,,,,,,,,,,,,,,,
Jundiá,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Lagoa d'Anta,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,
Lagoa de Pedras,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa de Velhos,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa Salgada,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lajes,2,,3,,,,,,,,,,,,,,,,,,,,,,,,
Lajes Pintadas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucrécia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luís Gomes,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaíba,21,,3,,,,,,,,,,,,,,,,,,,,,,,2,2
Macau,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1
Major Sales,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelino Vieira,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxaranguape,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Messias Targino,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montanhas,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
Monte Alegre,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Monte das Gameleiras,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
Mossoró,151,2,90,1,,1,,,,,,,,,,,,,,,2,2,2,3,5,14,59
Natal,532,13,200,9,,9,,5,0,1,0,1,0,1,0,5,4,3,2,3,9,8,9,20,47,73,123
Nísia Floresta,3,,3,,,,,,,,,,,,,,,,,,,,,2,2,3,3
Nova Cruz,5,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Olho-d'Água do Borges,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ouro Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraná,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraú,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parazinho,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parelhas,3,,4,,,,,,,,,,,,,,,,,,,,,,,,2
Parnamirim,83,4,29,4,,3,,1,0,,,,,,,1,1,1,2,1,2,2,4,5,13,16,20
Passa e Fica,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Passagem,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Patu,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Pau dos Ferros,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
Pedra Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedra Preta,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Avelino,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Velho,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
