municipio,suspeitos_24_03,confirmados_24_03,mortes_24_03,confirmados_22_03,mortes_22_03,confirmados_21_03,mortes_21_03,confirmados_20_03,mortes_20_03,confirmados_18_03,mortes_18_03,confirmados_16_03,mortes_16_03,confirmados_13_03,mortes_13_03,suspeitos_28_02,suspeitos_02_03,suspeitos_03_03,suspeitos_05_03,suspeitos_06_03,suspeitos_10_03,suspeitos_11_03,suspeitos_13_03,suspeitos_16_03,suspeitos_18_03,suspeitos_20_03,suspeitos_22_03
Acari,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natal,200,9,,9,,6,0,5,0,1,0,1,0,1,0,5,4,3,2,3,9,8,9,20,47,73,123
Afonso Bezerra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Água Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almino Afonso,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alto do Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mossoró,90,1,,1,,1,0,,,,,,,,,,,,,,2,2,2,3,5,14,59
Antônio Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apodi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parnamirim,29,4,,3,,2,0,1,0,,,,,,,1,1,1,2,1,2,2,4,5,13,16,20
Arês,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açu,10,,,,,,,,,,,,,,,,,,,,,,,,,,6
Baraúna,9,,,,,,,,,,,,,,,,,,,,,,,,,,2
Guamaré,6,,,,,,,,,,,,,,,,,,,,,,,,,3,3
São Gonçalo do Amarante,6,,,,,,,,,,,,,,,,,,,,,,,,,2,4
Bento Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Guerra,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bom Jesus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parelhas,4,,,,,,,,,,,,,,,,,,,,,,,,,,2
Caiçara do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caiçara do Rio do Vento,,,,,,,,,,,,,,,,,,,,,,,,,,,
São José de Mipibu,4,,,,,,,,,,,,,,,,,,,,,,,,,,4
Campo Redondo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibau,4,,,,,,,,,,,,,,,,,,,,,,,,,2,3
