municipio,lat,lon
Acari,-6.433949999999925,-36.63958999999994
Açu,-5.576209999999946,-36.91482999999994
Afonso Bezerra,-5.500949999999932,-36.50316999999996
Alto do Rodrigues,-5.295079999999928,-36.76235999999994
Angicos,-5.679969999999969,-36.60628999999994
Apodi,-5.663089999999952,-37.79819999999995
Areia Branca,-4.955419999999948,-37.13026999999994
Baía Formosa,-6.3712399999999425,-35.00527999999996
Baraúna,-5.079409999999939,-37.616939999999936
Barcelona,-5.950419999999951,-35.92599999999993
Bodó,-5.987109999999973,-36.413319999999935
Bom Jesus,-5.985359999999957,-35.584439999999965
Brejinho,-6.204119999999932,-35.365399999999966
Caiçara do Norte,-5.0642799999999415,-36.052749999999946
Caicó,-6.460369999999955,-37.09818999999993
Campo Grande,-5.862209999999948,-37.31170999999996
Canguaretama,-6.377809999999952,-35.134329999999984
Caraúbas,-5.787839999999959,-37.559109999999976
Carnaubais,-5.339999999999974,-36.830499999999965
Ceará-Mirim,-5.635199999999943,-35.419599999999946
Cerro Corá,-6.046449999999938,-36.34772999999996
Coronel João Pessoa,-6.261759999999981,-38.44419999999997
Cruzeta,-6.412139999999965,-36.78745999999995
Doutor Severiano,-6.094689999999957,-38.373689999999954
Espírito Santo,-6.332849999999951,-35.310539999999946
Extremoz,-5.705919999999932,-35.302739999999964
Felipe Guerra,-5.598289999999963,-37.696579999999976
Fernando Pedroza,-5.6970699999999415,-36.53090999999995
Goianinha,-6.2680299999999525,-35.208459999999945
Governador Dix-Sept Rosado,-5.455879999999978,-37.51944999999995
Grossos,-4.982039999999927,-37.15163999999993
Guamaré,-5.10821999999996,-36.31984999999997
Ipanguaçu,-5.50834999999995,-36.85965999999996
Ipueira,-6.816899999999976,-37.19819999999993
Itajá,-5.631279999999948,-36.86386999999996
Januário Cicco,-6.1568099999999495,-35.60445999999996
Jardim do Seridó,-6.587309999999945,-36.773039999999966
João Câmara,-5.549329999999942,-35.814689999999985
Jucurutu,-6.0319599999999705,-37.016039999999975
Jundiá,-6.267009999999972,-35.32767999999993
Lagoa d'Anta,-6.391369999999938,-35.59790999999996
Lagoa de Velhos,-6.002339999999948,-35.868019999999945
Lagoa Salgada,-6.122439999999926,-35.481429999999925
Lajes,-5.701139999999953,-36.24448999999999
Lucrécia,-6.115279999999927,-37.813639999999964
Luís Gomes,-6.4132999999999365,-38.38688999999994
Macaíba,-5.859749999999963,-35.34979999999996
Macau,-5.112609999999961,-36.634489999999964
Major Sales,-6.406819999999925,-38.323009999999954
Marcelino Vieira,-6.29335999999995,-38.16688999999997
Maxaranguape,-5.518319999999959,-35.259219999999964
Montanhas,-6.484459999999956,-35.285369999999936
Monte Alegre,-6.0724499999999475,-35.33660999999995
Monte das Gameleiras,-6.440269999999941,-35.78496999999993
Mossoró,-5.1878399999999365,-37.34421999999995
Natal,-5.795439999999927,-35.211509999999976
Nísia Floresta,-6.051759999999945,-35.22305999999997
Nova Cruz,-6.475229999999954,-35.42883999999998
Olho-d'Água do Borges,-5.9557499999999655,-37.703629999999976
Parelhas,-6.69241999999997,-36.658919999999966
Parnamirim,-5.905429999999968,-35.26119999999997
Passa e Fica,-6.4354699999999525,-35.64358999999996
Passagem,-6.278699999999957,-35.37551999999994
Patu,-6.1019399999999555,-37.637299999999975
Pau dos Ferros,-6.111899999999935,-38.20614999999998
Pedro Velho,-6.438889999999957,-35.221649999999954
Pendências,-5.2566399999999485,-36.71898999999996
Pilões,-6.267339999999932,-38.04239999999993
Rafael Fernandes,-6.193529999999952,-38.22623999999996
Riacho da Cruz,-5.936379999999929,-37.948689999999935
Riachuelo,-5.810169999999971,-35.82335999999998
Rio do Fogo,-5.274719999999945,-35.38252999999997
Santa Cruz,-6.22900999999996,-36.021769999999954
Santa Maria,-5.8395899999999274,-35.68999999999994
Santana do Matos,-5.958059999999932,-36.66101999999995
Santo Antônio,-6.314239999999927,-35.47337999999996
São Fernando,-6.382319999999938,-37.18699999999996
São Francisco do Oeste,-6.000169999999969,-38.16778999999997
São Gonçalo do Amarante,-5.7931899999999805,-35.32882999999997
São João do Sabugi,-6.716909999999928,-37.20399999999995
São José de Mipibu,-6.073679999999968,-35.237859999999955
São José do Campestre,-6.311859999999967,-35.71554999999995
São José do Seridó,-6.449379999999963,-36.87972999999994
São Miguel,-6.204529999999977,-38.492969999999964
São Miguel do Gostoso,-5.124319999999956,-35.63579999999996
São Paulo do Potengi,-5.8928999999999405,-35.756449999999965
Serra Caiada,-6.106839999999977,-35.71097999999995
Tenente Ananias,-6.460449999999981,-38.180609999999945
Tibau,-4.840939999999931,-37.255699999999926
Tibau do Sul,-6.188469999999938,-35.090569999999964
Timbaúba dos Batistas,-6.464379999999949,-37.267169999999965
Touros,-5.1988699999999435,-35.46049999999997
Umarizal,-5.990989999999954,-37.81269999999995
Venha-Ver,-6.319999999999938,-38.490929999999935
Água Nova,-6.207479999999976,-38.29326999999995
Alexandria,-6.408309999999973,-38.01498999999996
Almino Afonso,-6.1523899999999685,-37.767109999999946
Antônio Martins,-6.215829999999926,-37.888289999999984
Arês,-6.195519999999932,-35.17175999999995
Bento Fernandes,-5.693659999999966,-35.82129999999995
Caiçara do Rio do Vento,-5.757599999999968,-35.997799999999984
Campo Redondo,-6.243609999999932,-36.18324999999993
Carnaúba dos Dantas,-6.557059999999979,-36.59242999999998
Coronel Ezequiel,-6.3854899999999475,-36.217049999999965
Currais Novos,-6.2570799999999736,-36.51195999999993
Encanto,-6.113109999999947,-38.309959999999926
Equador,-6.944639999999938,-36.71771999999993
Florânia,-6.122259999999926,-36.810299999999984
Francisco Dantas,-6.08878999999996,-38.12426999999997
Frutuoso Gomes,-6.159069999999929,-37.840929999999965
Galinhos,-5.092329999999947,-36.274389999999975
Ielmo Marinho,-5.8213799999999765,-35.552379999999964
Itaú,-5.844509999999957,-37.99028999999996
Jaçanã,-6.427419999999927,-36.204079999999976
Jandaíra,-5.356999999999972,-36.125839999999975
Janduís,-6.017179999999938,-37.40640999999994
Japi,-6.46596999999997,-35.94584999999995
Jardim de Angicos,-5.6515499999999275,-35.97138999999993
Jardim de Piranhas,-6.378819999999963,-37.352089999999976
João Dias,-6.278029999999943,-37.79738999999995
José da Penha,-6.318839999999965,-38.28443999999996
Lagoa de Pedras,-6.146349999999927,-35.43341999999996
Lagoa Nova,-6.094469999999943,-36.47147999999993
Lajes Pintadas,-6.1499899999999466,-36.11679999999996
Martins,-6.090019999999981,-37.913569999999936
Messias Targino,-6.077989999999943,-37.513039999999926
Ouro Branco,-6.703359999999975,-36.945779999999964
Paraná,-6.484079999999949,-38.31215999999995
Paraú,-5.777339999999981,-37.10159999999996
Parazinho,-5.2269099999999735,-35.83941999999996
Pedra Grande,-5.150869999999942,-35.87695999999994
Pedra Preta,-5.581669999999974,-36.104319999999966
Pedro Avelino,-5.52049999999997,-36.387219999999964
Poço Branco,-5.620549999999981,-35.65979999999996
Portalegre,-6.024699999999938,-37.987439999999935
Porto do Mangue,-5.067129999999963,-36.780739999999966
Pureza,-5.4634699999999725,-35.55421999999993
Rafael Godeiro,-6.076989999999968,-37.716549999999984
Riacho de Santana,-6.263279999999952,-38.313729999999964
Rodolfo Fernandes,-5.7897199999999325,-38.06057999999996
Ruy Barbosa,-5.881059999999932,-35.934789999999964
Santana do Seridó,-6.771309999999971,-36.73416999999995
São Bento do Norte,-5.064439999999934,-36.03975999999994
São Bento do Trairí,-6.342439999999954,-36.085579999999936
São Pedro,-5.8962799999999325,-35.635119999999965
São Rafael,-5.802859999999952,-36.88585999999998
São Tomé,-5.9725299999999475,-36.07672999999994
São Vicente,-6.219899999999938,-36.681949999999965
Senador Elói de Souza,-6.036669999999957,-35.69077999999996
Senador Georgino Avelino,-6.162669999999935,-35.12469999999996
Serra de São Bento,-6.417519999999968,-35.704249999999945
Serra do Mel,-5.174689999999941,-37.038029999999935
Serra Negra do Norte,-6.665899999999965,-37.399599999999964
Serrinha,-6.277789999999925,-35.49991999999997
Serrinha dos Pintos,-6.1126599999999485,-37.955829999999935
Severiano Melo,-5.782089999999927,-37.95746999999994
Sítio Novo,-6.11039999999997,-35.91463999999996
Taboleiro Grande,-5.928269999999943,-38.04434999999995
Taipu,-5.621829999999932,-35.596919999999955
Tangará,-6.199529999999925,-35.80089999999996
Tenente Laurentino Cruz,-6.146409999999946,-36.71765999999997
Triunfo Potiguar,-5.8670799999999295,-37.18545999999998
Upanema,-5.6433099999999286,-37.258699999999976
Várzea,-6.3451799999999725,-35.37230999999996
Vera Cruz,-6.043829999999957,-35.432109999999966
Viçosa,-5.992209999999943,-37.94571999999994
Vila Flor,-6.315259999999968,-35.07624999999996
