country,confirmed,deaths,recovered,days100,pop
Brazil,0.07214928465956742,0.0,0.0,0.0,209288284.3017578
Brazil,0.07214928465956742,0.0,0.0,1.0,209288284.3017578
Brazil,0.07740519281357565,0.0,0.0,2.0,209288284.3017578
Brazil,0.09556196643651313,0.0,1.0,3.0,209288284.3017578
Brazil,0.1533769561306036,1.0,2.0,4.0,209288284.3017578
Brazil,0.17774525757191445,3.0,2.0,5.0,209288284.3017578
Brazil,0.2967199057853733,6.0,2.0,6.0,209288284.3017578
Brazil,0.3789031969207746,11.0,2.0,7.0,209288284.3017578
Brazil,0.4878438386583996,15.0,2.0,8.0,209288284.3017578
Brazil,0.7611510626668272,25.0,2.0,9.0,209288284.3017578
France,0.1487511990023937,2.0,12.0,0.0,67226348.87695312
France,0.19337655870311182,2.0,12.0,1.0,67226348.87695312
France,0.2841147900945719,3.0,12.0,2.0,67226348.87695312
France,0.30345244596488313,4.0,12.0,3.0,67226348.87695312
France,0.42394091715682203,4.0,12.0,4.0,67226348.87695312
France,0.5607920202390242,6.0,12.0,5.0,67226348.87695312
France,0.9713453294856308,9.0,12.0,6.0,67226348.87695312
France,1.4116488785327161,11.0,12.0,7.0,67226348.87695312
France,1.6749385007669528,19.0,12.0,8.0,67226348.87695312
France,1.79840199593894,19.0,12.0,9.0,67226348.87695312
France,2.6537213902027035,33.0,12.0,10.0,67226348.87695312
France,3.397477385214672,48.0,12.0,11.0,67226348.87695312
France,3.397477385214672,48.0,12.0,12.0,67226348.87695312
France,5.454706467417777,79.0,12.0,13.0,67226348.87695312
France,6.6640537153072374,91.0,12.0,14.0,67226348.87695312
France,6.7131416109780275,91.0,12.0,15.0,67226348.87695312
France,9.89195473365918,148.0,12.0,16.0,67226348.87695312
France,11.428554619353907,148.0,12.0,17.0,67226348.87695312
France,13.464958533696677,148.0,12.0,18.0,67226348.87695312
France,16.193055523400577,243.0,12.0,19.0,67226348.87695312
France,18.79025145798237,450.0,12.0,20.0,67226348.87695312
France,21.28332155326249,562.0,12.0,21.0,67226348.87695312
France,23.865642367944044,674.0,2200.0,22.0,67226348.87695312
Germany,0.15831604861005552,0.0,16.0,0.0,82114227.29492188
Germany,0.1936327056076833,0.0,16.0,1.0,82114227.29492188
Germany,0.23869188867362218,0.0,16.0,2.0,82114227.29492188
Germany,0.3190677287371888,0.0,16.0,3.0,82114227.29492188
Germany,0.5869871956157444,0.0,16.0,4.0,82114227.29492188
Germany,0.8159365582210554,0.0,17.0,5.0,82114227.29492188
Germany,0.9730347910725721,0.0,18.0,6.0,82114227.29492188
Germany,1.2665283888804442,0.0,18.0,7.0,82114227.29492188
Germany,1.4321513320417332,2.0,18.0,8.0,82114227.29492188
Germany,1.774357560191161,2.0,18.0,9.0,82114227.29492188
Germany,2.3235924672921997,3.0,25.0,10.0,82114227.29492188
Germany,2.530621146243811,3.0,25.0,11.0,82114227.29492188
Germany,4.475472912630416,7.0,46.0,12.0,82114227.29492188
Germany,5.583685252900804,9.0,46.0,13.0,82114227.29492188
Germany,7.05724232073286,11.0,46.0,14.0,82114227.29492188
Germany,8.855956196094798,17.0,67.0,15.0,82114227.29492188
Germany,11.273320476794494,24.0,67.0,16.0,82114227.29492188
Germany,15.01201485550888,28.0,105.0,17.0,82114227.29492188
Germany,18.656937420815773,44.0,113.0,18.0,82114227.29492188
Germany,24.171207175479864,67.0,180.0,19.0,82114227.29492188
Germany,27.051341444424335,84.0,233.0,20.0,82114227.29492188
Germany,30.290731362137777,94.0,266.0,21.0,82114227.29492188
Italy,0.2611190319906853,3.0,2.0,0.0,59359901.428222656
Italy,0.3857823117797867,7.0,1.0,1.0,59359901.428222656
Italy,0.5424537309741979,10.0,1.0,2.0,59359901.428222656
Italy,0.7631414289792289,12.0,3.0,3.0,59359901.428222656
Italy,1.1034384900251542,17.0,45.0,4.0,59359901.428222656
Italy,1.4959593574692167,21.0,46.0,5.0,59359901.428222656
Italy,1.9002726973257615,29.0,46.0,6.0,59359901.428222656
Italy,2.85377832382078,34.0,83.0,7.0,59359901.428222656
Italy,3.4299248331163574,52.0,149.0,8.0,59359901.428222656
Italy,4.214966568004482,79.0,160.0,9.0,59359901.428222656
Italy,5.203849611736948,107.0,276.0,10.0,59359901.428222656
Italy,6.499336938193962,148.0,414.0,11.0,59359901.428222656
Italy,7.809986014895595,197.0,523.0,12.0,59359901.428222656
Italy,9.91073074323356,233.0,589.0,13.0,59359901.428222656
Italy,12.424212006008416,366.0,622.0,14.0,59359901.428222656
Italy,15.451508138184295,463.0,724.0,15.0,59359901.428222656
Italy,17.09740035918365,631.0,724.0,16.0,59359901.428222656
Italy,20.9939701720511,827.0,1045.0,17.0,59359901.428222656
Italy,20.9939701720511,827.0,1045.0,18.0,59359901.428222656
Italy,29.750723257777437,1266.0,1439.0,19.0,59359901.428222656
Italy,35.64190554727051,1441.0,1966.0,20.0,59359901.428222656
Italy,41.689759255958,1809.0,2335.0,21.0,59359901.428222656
Italy,47.136196871608874,2158.0,2749.0,22.0,59359901.428222656
Italy,53.07623368966796,2503.0,2941.0,23.0,59359901.428222656
Italy,60.16350960956998,2978.0,4025.0,24.0,59359901.428222656
Italy,69.12915792088886,3405.0,4440.0,25.0,59359901.428222656
Italy,79.21340647247752,4032.0,4440.0,26.0,59359901.428222656
Italy,90.25958384514155,4825.0,6072.0,27.0,59359901.428222656
Italy,99.62617621848484,5476.0,7024.0,28.0,59359901.428222656
Japan,0.08236298539489954,1.0,22.0,0.0,127484451.29394531
Japan,0.09569794493502615,1.0,22.0,1.0,127484451.29394531
Japan,0.11530817955285937,1.0,22.0,2.0,127484451.29394531
Japan,0.1247210921694193,1.0,22.0,3.0,127484451.29394531
Japan,0.13334959540126592,1.0,22.0,4.0,127484451.29394531
Japan,0.14825337371081918,2.0,22.0,5.0,127484451.29394531
Japan,0.1678636083286524,4.0,22.0,6.0,127484451.29394531
Japan,0.178845339714639,4.0,22.0,7.0,127484451.29394531
Japan,0.18904266171591227,5.0,32.0,8.0,127484451.29394531
Japan,0.2008088024866122,6.0,32.0,9.0,127484451.29394531
Japan,0.21492817141145212,6.0,32.0,10.0,127484451.29394531
Japan,0.2298319497210054,6.0,43.0,11.0,127484451.29394531
Japan,0.2596395063401119,6.0,43.0,12.0,127484451.29394531
Japan,0.28238737849679846,6.0,43.0,13.0,127484451.29394531
Japan,0.3294519415795982,6.0,46.0,14.0,127484451.29394531
Japan,0.3616127263528447,6.0,76.0,15.0,127484451.29394531
Japan,0.3937735111260911,6.0,76.0,16.0,127484451.29394531
Japan,0.40083319558851116,17.0,76.0,17.0,127484451.29394531
Japan,0.4557418525184441,10.0,101.0,18.0,127484451.29394531
Japan,0.5012375968318172,15.0,118.0,19.0,127484451.29394531
Japan,0.5012375968318172,16.0,118.0,20.0,127484451.29394531
Japan,0.5498709786840437,19.0,118.0,21.0,127484451.29394531
Japan,0.6063484543834032,22.0,118.0,22.0,127484451.29394531
Japan,0.658119473774483,22.0,118.0,23.0,127484451.29394531
Japan,0.6471377423884964,27.0,144.0,24.0,127484451.29394531
Japan,0.6887114397783028,29.0,144.0,25.0,127484451.29394531
Japan,0.6973399430101495,29.0,144.0,26.0,127484451.29394531
Japan,0.724794271475116,29.0,150.0,27.0,127484451.29394531
Japan,0.7553862374789359,33.0,191.0,28.0,127484451.29394531
Japan,0.7899002504063223,35.0,232.0,29.0,127484451.29394531
Japan,0.8518685917986754,40.0,235.0,30.0,127484451.29394531
Portugal,1.0842725766650492,0.0,1.0,0.0,10329505.920410156
Portugal,1.6360898701463686,0.0,2.0,1.0,10329505.920410156
Portugal,2.371846261454795,0.0,2.0,2.0,10329505.920410156
Portugal,3.2044127042511716,0.0,3.0,3.0,10329505.920410156
Portugal,4.337090306660197,1.0,3.0,4.0,10329505.920410156
Portugal,4.337090306660197,2.0,3.0,5.0,10329505.920410156
Portugal,7.599589041804139,3.0,3.0,6.0,10329505.920410156
Portugal,9.874625251770983,6.0,5.0,7.0,10329505.920410156
Portugal,12.391686590457706,12.0,5.0,8.0,10329505.920410156
Portugal,15.48960823807213,14.0,5.0,9.0,10329505.920410156
Spain,0.2588755452307273,0.0,2.0,0.0,46354320.52612305
Spain,0.3559538746922501,1.0,2.0,1.0,46354320.52612305
Spain,0.47891975867684555,2.0,2.0,2.0,46354320.52612305
Spain,0.5587397184563199,3.0,2.0,3.0,46354320.52612305
Spain,0.8629184841024244,5.0,2.0,4.0,46354320.52612305
Spain,1.0786481051280308,10.0,30.0,5.0,46354320.52612305
Spain,1.4518603495023292,17.0,30.0,6.0,46354320.52612305
Spain,2.3147788336047537,28.0,32.0,7.0,46354320.52612305
Spain,3.656617076384024,35.0,32.0,8.0,46354320.52612305
Spain,4.912163470753052,54.0,183.0,9.0,46354320.52612305
Spain,4.912163470753052,55.0,183.0,10.0,46354320.52612305
Spain,11.286973772059714,133.0,193.0,11.0,46354320.52612305
Spain,13.787280079746486,195.0,517.0,12.0,46354320.52612305
Spain,16.822595847576764,289.0,517.0,13.0,46354320.52612305
Spain,21.44783892236576,342.0,530.0,14.0,46354320.52612305
Spain,25.343915878088204,533.0,1028.0,15.0,46354320.52612305
Spain,30.007990284661812,623.0,1081.0,16.0,46354320.52612305
Spain,38.75151182482963,830.0,1107.0,17.0,46354320.52612305
Spain,44.030415651326216,1043.0,1588.0,18.0,46354320.52612305
Spain,54.7392340390373,1375.0,2125.0,19.0,46354320.52612305
Spain,62.061097376646366,1772.0,2575.0,20.0,46354320.52612305
Switzerland,1.3449733143483689,1.0,3.0,0.0,8476004.600524902
Switzerland,2.5247744672855346,1.0,3.0,1.0,8476004.600524902
Switzerland,3.161867089871604,1.0,3.0,2.0,8476004.600524902
Switzerland,3.9759298853982483,2.0,3.0,3.0,8476004.600524902
Switzerland,4.412456311985,2.0,3.0,4.0,8476004.600524902
Switzerland,5.792823660921483,3.0,3.0,5.0,8476004.600524902
Switzerland,7.69230351715032,4.0,4.0,6.0,8476004.600524902
Switzerland,7.69230351715032,4.0,4.0,7.0,8476004.600524902
Switzerland,13.437935131954319,11.0,4.0,8.0,8476004.600524902
Switzerland,16.033497668416082,13.0,4.0,9.0,8476004.600524902
Switzerland,25.955625364617646,14.0,4.0,10.0,8476004.600524902
Switzerland,25.955625364617646,14.0,4.0,11.0,8476004.600524902
Switzerland,31.85463112930347,27.0,4.0,12.0,8476004.600524902
Switzerland,35.724378910937375,28.0,15.0,13.0,8476004.600524902
Switzerland,48.0768969821895,41.0,15.0,14.0,8476004.600524902
Switzerland,62.45867303649355,54.0,15.0,15.0,8476004.600524902
Switzerland,77.57192580561865,75.0,15.0,16.0,8476004.600524902
Switzerland,85.47659353029765,98.0,131.0,17.0,8476004.600524902
United Kingdom,0.6935463763954177,8.0,19.0,0.0,66181587.21923828
United Kingdom,0.6935463763954177,8.0,19.0,1.0,66181587.21923828
United Kingdom,1.210306421552788,8.0,19.0,2.0,66181587.21923828
United Kingdom,1.7270664667101578,21.0,19.0,3.0,66181587.21923828
United Kingdom,1.7285774609942437,21.0,19.0,4.0,66181587.21923828
United Kingdom,2.343552134617196,56.0,21.0,5.0,66181587.21923828
United Kingdom,2.96154879680832,56.0,53.0,6.0,66181587.21923828
United Kingdom,3.992046898554888,72.0,67.0,7.0,66181587.21923828
United Kingdom,4.103860475577243,138.0,67.0,8.0,66181587.21923828
United Kingdom,6.065131056320713,178.0,67.0,9.0,66181587.21923828
United Kingdom,7.6562080374631405,234.0,67.0,10.0,66181587.21923828
United Kingdom,8.674618184937023,282.0,67.0,11.0,66181587.21923828
