municipio,lat,lon
Acari,-6.433949999999925,-36.63958999999994
Afonso Bezerra,-5.500949999999932,-36.503169999999955
Alto do Rodrigues,-5.295079999999928,-36.762359999999944
Angicos,-5.679969999999969,-36.606289999999944
Apodi,-5.663089999999954,-37.79819999999995
Areia Branca,-4.955419999999947,-37.13026999999994
Augusto Severo,-5.862209999999948,-37.31170999999995
Açu,-5.576209999999946,-36.91482999999994
Baraúna,-5.079409999999939,-37.61693999999994
Barcelona,-5.950419999999951,-35.92599999999993
Baía Formosa,-6.371239999999943,-35.00527999999997
Bodó,-5.987109999999973,-36.41331999999994
Bom Jesus,-5.985359999999957,-35.58443999999997
Brejinho,-6.204119999999932,-35.365399999999966
Caicó,-6.460369999999955,-37.09818999999993
Caiçara do Norte,-5.06427999999994,-36.052749999999946
Canguaretama,-6.377809999999954,-35.13432999999998
Caraúbas,-5.78783999999996,-37.559109999999976
Carnaubais,-5.339999999999975,-36.83049999999997
Ceará-Mirim,-5.635199999999941,-35.419599999999946
Cerro Corá,-6.046449999999936,-36.347729999999956
Coronel João Pessoa,-6.261759999999981,-38.44419999999997
Cruzeta,-6.412139999999965,-36.78745999999995
Currais Novos,-6.2570799999999736,-36.51195999999993
Doutor Severiano,-6.094689999999957,-38.373689999999954
Espírito Santo,-6.332849999999951,-35.310539999999946
Extremoz,-5.705919999999935,-35.30273999999997
Felipe Guerra,-5.598289999999963,-37.69657999999998
Fernando Pedroza,-5.69706999999994,-36.53090999999995
Florânia,-6.122259999999926,-36.810299999999984
Frutuoso Gomes,-6.159069999999929,-37.84092999999996
Goianinha,-6.268029999999953,-35.208459999999945
Governador Dix-Sept Rosado,-5.455879999999979,-37.51944999999995
Guamaré,-5.10821999999996,-36.319849999999974
Ipanguaçu,-5.50834999999995,-36.85965999999996
Ipueira,-6.8168999999999755,-37.19819999999993
Itajá,-5.631279999999947,-36.86386999999996
Januário Cicco,-6.15680999999995,-35.60445999999996
Jardim do Seridó,-6.587309999999945,-36.77303999999998
João Câmara,-5.549329999999941,-35.814689999999985
Jucurutu,-6.03195999999997,-37.016039999999975
Jundiá,-6.267009999999971,-35.32767999999993
Lagoa Salgada,-6.122439999999926,-35.48142999999993
Lagoa d'Anta,-6.391369999999938,-35.597909999999956
Lagoa de Velhos,-6.002339999999947,-35.868019999999945
Lajes,-5.701139999999953,-36.244489999999985
Luís Gomes,-6.413299999999936,-38.38688999999994
Macau,-5.112609999999961,-36.63448999999997
Macaíba,-5.859749999999963,-35.34979999999996
Major Sales,-6.406819999999925,-38.323009999999954
Marcelino Vieira,-6.29335999999995,-38.16688999999997
Maxaranguape,-5.51831999999996,-35.25921999999997
Montanhas,-6.484459999999956,-35.28536999999994
Monte Alegre,-6.072449999999947,-35.33660999999995
Monte das Gameleiras,-6.440269999999941,-35.78496999999993
Mossoró,-5.187839999999937,-37.34421999999995
Natal,-5.795439999999928,-35.211509999999976
Nova Cruz,-6.475229999999954,-35.42883999999998
Nísia Floresta,-6.051759999999945,-35.223059999999975
Olho-d'Água do Borges,-5.955749999999966,-37.703629999999976
Parelhas,-6.69241999999997,-36.658919999999966
Parnamirim,-5.905429999999967,-35.261199999999974
Passa e Fica,-6.4354699999999525,-35.64358999999996
Passagem,-6.278699999999958,-35.37551999999994
Patu,-6.101939999999956,-37.63729999999998
Pau dos Ferros,-6.111899999999935,-38.20614999999998
Pedro Velho,-6.438889999999958,-35.221649999999954
Pendências,-5.256639999999948,-36.71898999999996
Pilões,-6.267339999999933,-38.04239999999993
Rafael Fernandes,-6.193529999999953,-38.22623999999996
Riachuelo,-5.810169999999971,-35.82335999999998
Rio do Fogo,-5.274719999999945,-35.382529999999974
Ruy Barbosa,-5.881059999999934,-35.934789999999964
Santa Cruz,-6.22900999999996,-36.02176999999995
Santa Maria,-5.83958999999993,-35.68999999999994
Santana do Matos,-5.958059999999932,-36.66101999999995
Santo Antônio,-6.314239999999927,-35.47337999999996
Serra do Mel,-5.174689999999941,-37.038029999999935
São Fernando,-6.382319999999936,-37.186999999999955
São Francisco do Oeste,-6.000169999999969,-38.16778999999997
São Gonçalo do Amarante,-5.793189999999981,-35.32882999999998
São José de Mipibu,-6.0736799999999675,-35.237859999999955
São José do Campestre,-6.311859999999967,-35.71554999999995
São João do Sabugi,-6.7169099999999275,-37.20399999999995
São Miguel,-6.204529999999977,-38.49296999999996
São Miguel do Gostoso,-5.124319999999955,-35.63579999999996
São Paulo do Potengi,-5.8928999999999405,-35.75644999999997
Sítio Novo,-6.11039999999997,-35.91463999999996
Tibau,-4.840939999999932,-37.25569999999993
Tibau do Sul,-6.188469999999938,-35.09056999999996
Touros,-5.198869999999943,-35.46049999999997
Umarizal,-5.990989999999954,-37.81269999999995
Venha-Ver,-6.319999999999936,-38.490929999999935
Vera Cruz,-6.043829999999957,-35.432109999999966
