municipio,data,confirmado,suspeito,lat,lon,morte
Acari,2020-05-16,1,71,-6.433949999999925,-36.63958999999994,0
Açu,2020-05-16,71,117,-5.576209999999946,-36.91482999999994,4
Afonso Bezerra,2020-05-16,3,8,-5.500949999999932,-36.50316999999996,0
Água Nova,2020-05-16,0,1,-6.207479999999976,-38.29326999999995,0
Alexandria,2020-05-16,5,1,-6.408309999999973,-38.01498999999996,1
Almino Afonso,2020-05-16,1,10,-6.1523899999999685,-37.767109999999946,0
Alto do Rodrigues,2020-05-16,13,57,-5.295079999999928,-36.76235999999994,1
Angicos,2020-05-16,1,12,-5.679969999999969,-36.60628999999994,0
Antônio Martins,2020-05-16,1,5,-6.215829999999926,-37.888289999999984,0
Apodi,2020-05-16,94,70,-5.663089999999952,-37.79819999999995,2
Areia Branca,2020-05-16,74,350,-4.955419999999948,-37.13026999999994,8
Arês,2020-05-16,3,10,-6.195519999999932,-35.17175999999995,0
Baía Formosa,2020-05-16,3,6,-6.371239999999943,-35.00527999999996,0
Baraúna,2020-05-16,32,53,-5.079409999999939,-37.616939999999936,2
Barcelona,2020-05-16,1,1,-5.950419999999951,-35.92599999999993,0
Bento Fernandes,2020-05-16,2,0,-5.693659999999966,-35.82129999999995,0
Boa Saúde,2020-05-16,1,10,-6.1568099999999495,-35.60445999999996,0
Bodó,2020-05-16,0,12,-5.987109999999973,-36.413319999999935,0
Bom Jesus,2020-05-16,3,8,-5.985359999999957,-35.584439999999965,1
Brejinho,2020-05-16,1,5,-6.204119999999932,-35.365399999999966,0
Caiçara do Norte,2020-05-16,2,5,-5.0642799999999415,-36.052749999999946,0
Caiçara do Rio do Vento,2020-05-16,0,7,-5.757599999999968,-35.997799999999984,0
Caicó,2020-05-16,10,210,-6.460369999999955,-37.09818999999993,0
Campo Grande,2020-05-16,1,3,-5.862209999999948,-37.31170999999996,0
Campo Redondo,2020-05-16,3,1,-6.243609999999932,-36.18324999999993,0
Canguaretama,2020-05-16,38,42,-6.377809999999952,-35.134329999999984,7
Caraúbas,2020-05-16,5,3,-5.787839999999959,-37.559109999999976,0
Carnaúba dos Dantas,2020-05-16,1,13,-6.557059999999979,-36.59242999999998,1
Carnaubais,2020-05-16,2,15,-5.339999999999974,-36.830499999999965,0
Ceará-Mirim,2020-05-16,23,85,-5.6351999999999425,-35.419599999999946,2
Cerro Corá,2020-05-16,1,15,-6.046449999999938,-36.34772999999996,1
Coronel Ezequiel,2020-05-16,0,1,-6.385489999999948,-36.217049999999965,0
Coronel João Pessoa,2020-05-16,2,2,-6.261759999999981,-38.44419999999997,1
Cruzeta,2020-05-16,0,9,-6.412139999999965,-36.78745999999995,0
Currais Novos,2020-05-16,12,32,-6.2570799999999736,-36.51195999999993,0
Doutor Severiano,2020-05-16,0,1,-6.094689999999957,-38.373689999999954,0
Encanto,2020-05-16,11,25,-6.113109999999947,-38.309959999999926,2
Equador,2020-05-16,0,1,-6.944639999999938,-36.71771999999993,0
Espírito Santo,2020-05-16,0,8,-6.332849999999951,-35.310539999999946,0
Extremoz,2020-05-16,43,118,-5.705919999999932,-35.302739999999964,1
Felipe Guerra,2020-05-16,13,8,-5.598289999999963,-37.696579999999976,0
Fernando Pedroza,2020-05-16,1,12,-5.6970699999999415,-36.53090999999995,0
Florânia,2020-05-16,0,17,-6.122259999999926,-36.810299999999984,0
Francisco Dantas,2020-05-16,0,7,-6.0887899999999595,-38.12426999999997,0
Frutuoso Gomes,2020-05-16,0,5,-6.159069999999929,-37.840929999999965,0
Galinhos,2020-05-16,0,0,-5.092329999999947,-36.274389999999975,0
Goianinha,2020-05-16,8,66,-6.2680299999999525,-35.208459999999945,0
Governador Dix-Sept Rosado,2020-05-16,3,26,-5.455879999999978,-37.51944999999995,0
Grossos,2020-05-16,5,22,-4.982039999999927,-37.15163999999993,1
Guamaré,2020-05-16,12,52,-5.10821999999996,-36.31984999999997,0
Ielmo Marinho,2020-05-16,1,2,-5.8213799999999765,-35.552379999999964,0
Ipanguaçu,2020-05-16,18,14,-5.50834999999995,-36.85965999999996,3
Ipueira,2020-05-16,0,7,-6.816899999999976,-37.19819999999993,0
Itajá,2020-05-16,4,8,-5.631279999999948,-36.86386999999996,0
Itaú,2020-05-16,12,11,-5.844509999999957,-37.99028999999996,0
Jaçanã,2020-05-16,3,3,-6.427419999999927,-36.204079999999976,0
Jandaíra,2020-05-16,0,3,-5.356999999999972,-36.125839999999975,0
Janduís,2020-05-16,0,3,-6.017179999999938,-37.40640999999994,0
Japi,2020-05-16,0,2,-6.46596999999997,-35.94584999999995,0
Jardim de Angicos,2020-05-16,0,1,-5.651549999999928,-35.97138999999993,0
Jardim de Piranhas,2020-05-16,0,10,-6.378819999999963,-37.352089999999976,0
Jardim do Seridó,2020-05-16,1,16,-6.587309999999945,-36.773039999999966,0
João Câmara,2020-05-16,3,9,-5.549329999999942,-35.814689999999985,0
João Dias,2020-05-16,0,2,-6.2780299999999425,-37.79738999999995,0
José da Penha,2020-05-16,0,3,-6.318839999999965,-38.28443999999996,0
Jucurutu,2020-05-16,1,23,-6.0319599999999705,-37.016039999999975,0
Jundiá,2020-05-16,0,1,-6.267009999999972,-35.32767999999993,0
Lagoa d'Anta,2020-05-16,0,4,-6.391369999999938,-35.59790999999996,0
Lagoa de Pedras,2020-05-16,2,7,-6.146349999999927,-35.43341999999996,1
Lagoa de Velhos,2020-05-16,0,2,-6.002339999999948,-35.868019999999945,0
