municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019
Acari,2020-06-23,9,78,-6.433949999999925,-36.63958999999994,0,240010.0,11136.0
Açu,2020-06-23,283,261,-5.576209999999946,-36.91482999999994,10,240020.0,58017.0
Afonso Bezerra,2020-06-23,31,17,-5.500949999999932,-36.50316999999996,3,240030.0,11035.0
Água Nova,2020-06-23,0,0,-6.207479999999976,-38.29326999999995,0,240040.0,3252.0
Alexandria,2020-06-23,10,10,-6.408309999999973,-38.01498999999996,1,240050.0,13577.0
Almino Afonso,2020-06-23,6,17,-6.1523899999999685,-37.767109999999946,0,240060.0,4735.0
Alto do Rodrigues,2020-06-23,109,75,-5.295079999999928,-36.76235999999994,6,240070.0,14529.0
Angicos,2020-06-23,22,75,-5.679969999999969,-36.60628999999994,2,240080.0,11714.0
Antônio Martins,2020-06-23,2,6,-6.215829999999926,-37.888289999999984,0,240090.0,7145.0
Apodi,2020-06-23,616,92,-5.663089999999952,-37.79819999999995,8,240100.0,35845.0
Areia Branca,2020-06-23,425,547,-4.955419999999948,-37.13026999999994,35,240110.0,27774.0
Arês,2020-06-23,44,59,-6.195519999999932,-35.17175999999995,0,240120.0,14306.0
Baía Formosa,2020-06-23,15,12,-6.371239999999943,-35.00527999999996,1,240140.0,9271.0
Baraúna,2020-06-23,163,90,-5.079409999999939,-37.616939999999936,8,240145.0,28374.0
Barcelona,2020-06-23,9,7,-5.950419999999951,-35.92599999999993,0,240150.0,3998.0
Bento Fernandes,2020-06-23,11,7,-5.693659999999966,-35.82129999999995,2,240160.0,5497.0
Boa Saúde,2020-06-23,13,11,-6.1568099999999495,-35.60445999999996,0,240530.0,10181.0
Bodó,2020-06-23,1,2,-5.987109999999973,-36.413319999999935,0,240165.0,2223.0
Bom Jesus,2020-06-23,42,25,-5.985359999999957,-35.584439999999965,1,240170.0,10210.0
Brejinho,2020-06-23,39,35,-6.204119999999932,-35.365399999999966,0,240180.0,12699.0
Caiçara do Norte,2020-06-23,25,22,-5.0642799999999415,-36.052749999999946,1,240185.0,6549.0
Caiçara do Rio do Vento,2020-06-23,37,29,-5.757599999999968,-35.997799999999984,1,240190.0,3684.0
Caicó,2020-06-23,211,378,-6.460369999999955,-37.09818999999993,3,240200.0,67952.0
Campo Grande,2020-06-23,6,7,-5.862209999999948,-37.31170999999996,0,240130.0,9655.0
Campo Redondo,2020-06-23,22,12,-6.243609999999932,-36.18324999999993,0,240210.0,11217.0
Canguaretama,2020-06-23,77,88,-6.377809999999952,-35.134329999999984,7,240220.0,34276.0
Caraúbas,2020-06-23,115,30,-5.787839999999959,-37.559109999999976,0,240230.0,20493.0
Carnaúba dos Dantas,2020-06-23,7,67,-6.557059999999979,-36.59242999999998,2,240240.0,8180.0
Carnaubais,2020-06-23,32,52,-5.339999999999974,-36.830499999999965,1,240250.0,10759.0
Ceará-Mirim,2020-06-23,318,258,-5.6351999999999425,-35.419599999999946,16,240260.0,73497.0
Cerro Corá,2020-06-23,3,24,-6.046449999999938,-36.34772999999996,1,240270.0,11179.0
