municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019,incidencia,mortalidade
Acari,2020-07-14,40,167,-6.43395,-36.63959,3,240010,11136,359.1954023,26.93965517
Açu,2020-07-14,623,650,-5.57621,-36.91483,31,240020,58017,1073.82319,53.43261458
Afonso Bezerra,2020-07-14,56,45,-5.50095,-36.50317,5,240030,11035,507.4762121,45.31037608
Água Nova,2020-07-14,3,4,-6.20748,-38.29327,,240040,3252,92.25092251,0
Alexandria,2020-07-14,25,33,-6.40831,-38.01499,2,240050,13577,184.1349341,14.73079473
Almino Afonso,2020-07-14,15,30,-6.15239,-37.76711,,240060,4735,316.7898627,0
Alto do Rodrigues,2020-07-14,220,144,-5.29508,-36.76236,9,240070,14529,1514.212953,61.94507537
Angicos,2020-07-14,81,136,-5.67997,-36.60629,2,240080,11714,691.48028,17.07358716
Antônio Martins,2020-07-14,3,12,-6.21583,-37.88829,1,240090,7145,41.98740378,13.99580126
Apodi,2020-07-14,954,163,-5.66309,-37.7982,15,240100,35845,2661.45906,41.84684056
Areia Branca,2020-07-14,609,545,-4.95542,-37.13027,43,240110,27774,2192.698207,154.8210557
Arês,2020-07-14,143,208,-6.19552,-35.17176,1,240120,14306,999.5805956,6.990074095
Baía Formosa,2020-07-14,57,39,-6.37124,-35.00528,2,240140,9271,614.8204077,21.57264589
Baraúna,2020-07-14,248,80,-5.07941,-37.61694,10,240145,28374,874.0396137,35.24353281
Barcelona,2020-07-14,22,8,-5.95042,-35.926,,240150,3998,550.2751376,0
Bento Fernandes,2020-07-14,18,9,-5.69366,-35.8213,1,240160,5497,327.4513371,18.19174095
Boa Saúde,2020-07-14,24,40,-6.15681,-35.60446,,240530,10181,235.7332286,0
Bodó,2020-07-14,3,17,-5.98711,-36.41332,,240165,2223,134.9527665,0
Bom Jesus,2020-07-14,80,48,-5.98536,-35.58444,1,240170,10210,783.5455436,9.794319295
Brejinho,2020-07-14,97,61,-6.20412,-35.3654,3,240180,12699,763.8396724,23.62390739
Caiçara do Norte,2020-07-14,60,41,-5.06428,-36.05275,2,240185,6549,916.1704077,30.53901359
Caiçara do Rio do Vento,2020-07-14,57,21,-5.7576,-35.9978,1,240190,3684,1547.23127,27.14440825
Caicó,2020-07-14,535,940,-6.46037,-37.09819,11,240200,67952,787.3204615,16.18789734
