municipio,confirmado_30_04,suspeito_30_04,confirmado_29_04,suspeito_29_04,confirmado_28_04,suspeito_28_04,confirmado_27_04,suspeito_27_04,confirmado_26_04,suspeito_26_04,confirmado_25_04,suspeito_25_04,confirmado_24_04,suspeito_24_04,confirmado_23_04,suspeito_23_04,confirmado_22_04,suspeito_22_04,confirmado_21_04,suspeito_21_04,confirmado_20_04,suspeito_20_04,confirmado_18_04,suspeito_18_04,confirmado_17_04,suspeito_17_04,confirmado_16_04,suspeito_16_04,confirmado_15_04,suspeito_15_04,confirmado_14_04,suspeito_14_04,confirmado_13_04,suspeito_13_04,confirmado_12_04_,suspeito_12_04,confirmado_11_04,suspeito_11_04,confirmado_10_04,suspeito_10_04,confirmado_09_04,suspeito_09_04,confirmado_08_04,suspeito_08_04,confirmado_07_04,suspeito_07_04,confirmado_05_04,suspeito_05_04,confirmado_03_04,suspeito_03_04,confirmado_02_04,suspeitos_02_04,confirmado_01_04,suspeito_01_04,confirmado_30_03,suspeitos_30_03,confirmados_28_03,suspeitos_28_03,confirmados_27_03,suspeitos_27_03,confirmados_25_03,suspeitos_25_03,confirmados_24_03,suspeitos_24_03,confirmados_22_03,suspeitos_22_03,confirmados_20_03,suspeitos_20_03,confirmados_18_03,suspeitos_18_03,confirmados_16_03,suspeitos_16_03,confirmados_13_03,suspeitos_13_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Acari,2,56,1,57,1,54,1,53,1,52,1,52,1,50,1,51,1,50,1,49,1,49,1,36,1,35,1,35,1,35,1,35,,36,,37,,37,,37,,37,,30,,31,,,,28,,29,,25,,10,,10,,10,,6,,,,,,,,,,,,,,,,,,,
Açu,35,41,35,43,31,37,29,38,29,38,29,32,25,30,24,33,24,29,20,23,19,25,18,15,16,15,13,18,13,18,11,22,10,29,8,36,8,36,8,37,8,32,8,31,8,32,8,33,6,37,1,33,1,29,1,23,1,24,,29,,29,,10,,6,,,,,,,,,,,,,,,
Afonso Bezerra,,3,,3,,3,,2,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,2,,2,,2,,,,2,,2,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Água Nova,,1,,1,,2,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,4,,5,,1,21,1,5,1,5,1,5,1,,1,1,1,1,,,,,,,,,,,,,,1,,2,,2,,1,,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almino Afonso,,4,,4,,3,,3,,3,,3,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alto do Rodrigues,2,24,2,24,2,22,1,21,1,21,1,21,1,17,1,17,1,16,1,16,1,16,,11,,11,,11,,11,,11,,12,,12,,12,,11,,9,,9,,10,,10,,10,,10,,8,,7,,7,,7,,7,,,,,,,,,,,,,,,,,,,
Angicos,,8,,8,,6,,5,,5,,5,,5,,6,,6,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,6,,6,,6,,12,,12,,12,,11,,8,,8,,8,,8,,9,,1,,1,,1,,1,,,,,,,,,,,
Antônio Martins,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apodi,15,109,15,94,11,123,11,55,8,27,7,26,7,9,7,13,7,12,7,8,5,10,5,6,5,6,5,6,5,8,5,8,4,10,3,10,3,9,2,11,2,8,2,7,1,8,1,8,1,7,1,7,1,3,1,3,,4,,4,,3,,,,,,,,,,,,,,,,,,,
Areia Branca,11,114,10,99,5,74,5,59,5,56,4,58,4,47,4,46,4,45,4,42,3,43,3,28,3,28,2,29,2,29,2,32,1,35,1,37,1,36,1,33,1,26,1,23,1,22,1,21,,18,,15,,8,,2,,2,,2,,4,,1,,1,,1,,,,,,,,,,,,,
Arês,1,5,1,4,1,5,1,5,1,5,,6,,4,,4,,4,,4,,4,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto Severo,,2,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,1,,2,,2,,2,1,1,1,1,1,2,,3,,3,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,
Baía Formosa,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,30,,30,,30,,29,,26,,2,,2,,2,,,,1,,1,,1,,,,,,,,,,,,,
Baraúna,4,41,4,39,1,42,1,39,1,39,,40,,38,,38,,38,,35,,35,,33,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,1,,1,,2,,2,,2,,21,,21,,21,,21,,9,,2,,,,,,,,,,,,,,,
Barcelona,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,1,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,
Bento Fernandes,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,,8,,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodó,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,,,,,,,,,,,6,,6,,7,,7,,3,,,,,,,,,,,,,,,,,
Bom Jesus,,3,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Brejinho,1,1,,1,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,,,2,,2,,2,,2,,2,,1,,1,,1,,2,,2,,2,,,,,,,,,,,,,,,
Caiçara do Norte,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,1,,1,,,,,,,,,,,,,,,,,,,
Caiçara do Rio do Vento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,39,,40,1,34,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caicó,1,140,1,131,1,99,1,98,1,98,1,98,1,94,1,51,,51,,51,,51,,41,,41,,41,,41,,41,,41,,42,,42,,43,,43,,41,,1,,1,,1,,1,,1,2,15,1,15,,17,,3,,1,,1,,1,,,,,,,,,,,,,
Campo Redondo,1,1,2,,1,3,1,3,1,3,1,4,1,2,1,2,,1,,,,,,,,,,2,,2,,3,,4,,4,,2,,3,,2,,3,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canguaretama,14,21,12,26,11,40,11,38,11,36,11,33,11,15,11,16,7,21,6,17,6,17,5,11,5,11,4,12,4,12,3,13,3,13,,17,,17,,17,,16,,12,,12,,12,,11,,10,,8,,6,,6,,6,,6,,2,,1,,,,,,,,,,,,,,,
Caraúbas,2,6,2,6,1,9,1,8,1,8,1,8,1,6,1,9,1,9,1,7,1,7,1,6,1,6,1,6,1,7,1,7,1,9,1,9,1,9,1,9,1,9,1,9,1,10,1,10,1,6,,6,,6,,4,,5,,5,,5,,2,,1,,,,,,,,,,,,,,,
Carnaúba dos Dantas,1,4,1,5,1,5,1,3,1,3,1,3,1,3,1,5,,6,,4,,4,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnaubais,1,10,1,10,1,11,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,,11,1,11,1,11,1,11,1,10,1,11,1,12,1,12,1,11,1,10,1,9,,10,,10,,10,,2,,,,,,,,,,,,,,,,,
Ceará-Mirim,12,48,11,47,11,45,10,43,10,43,10,45,10,39,9,39,8,39,7,36,7,36,7,35,5,35,5,36,5,37,5,36,3,42,3,42,3,42,3,43,3,43,3,41,3,42,3,41,3,37,2,37,1,21,,8,,8,,7,,7,,2,,2,,1,,1,,1,,,,,,,,,
Cerro Corá,1,13,1,12,1,11,1,11,1,11,1,11,1,8,1,8,1,8,1,8,1,8,1,5,1,5,1,5,1,5,1,6,1,8,,8,,8,,9,,9,,4,,4,,4,,2,,2,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Coronel Ezequiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
